Strategy 1,Strategy 2,Strategy 3,Strategy 4,Strategy 5,Strategy 6,Strategy 7
-0.0098,-0.018,-0.0065,-0.0065,-0.0057,-0.0082,-0.027
-0.0098,-0.018,-0.0065,-0.0065,-0.0057,-0.0082,-0.027
-0.0098,-0.018,-0.0065,-0.0065,-0.0057,-0.0057,-0.027
-0.0098,-0.018,-0.0065,-0.0065,-0.0057,-0.0057,-0.027
-0.0098,-0.018,-0.0065,-0.0065,-0.0057,-0.0057,-0.027
-0.0098,-0.018,-0.0065,-0.0065,-0.0057,-0.0057,-0.027
-0.0098,-0.018,-0.0057,-0.0065,-0.0057,-0.0057,-0.027
-0.0098,-0.018,-0.0057,-0.0065,-0.0057,-0.0057,-0.027
-0.0098,-0.018,-0.0041,-0.0065,-0.0057,-0.0057,-0.027
-0.0098,-0.018,-0.0041,-0.0065,-0.0057,-0.0057,-0.027
-0.0098,-0.018,-0.0041,-0.0065,-0.0057,-0.0057,-0.027
-0.0098,-0.0164,-0.0041,-0.0065,-0.0057,-0.0057,-0.027
-0.0098,-0.0164,-0.0041,-0.0065,-0.0057,-0.0057,-0.027
-0.0098,-0.0164,-0.0041,-0.0065,-0.0057,-0.0057,-0.027
-0.0098,-0.0164,-0.0041,-0.0065,-0.0057,-0.0057,-0.027
-0.0098,-0.0164,-0.0041,-0.0065,-0.0057,-0.0057,-0.027
-0.0098,-0.0164,-0.0041,-0.0065,-0.0057,-0.0057,-0.027
-0.0098,-0.0164,-0.0041,-0.0065,-0.0057,-0.0057,-0.027
-0.0098,-0.0164,-0.0041,-0.0065,-0.0057,-0.0057,-0.027
-0.0098,-0.0164,-0.0041,-0.0065,-0.0057,-0.0057,-0.027
-0.0098,-0.0164,-0.0041,-0.0065,-0.0057,-0.0057,-0.027
-0.0098,-0.0164,-0.0041,-0.0057,-0.0057,-0.0057,-0.027
-0.0098,-0.0164,-0.0041,-0.0057,-0.0057,-0.0057,-0.027
-0.0098,-0.0164,-0.0041,-0.0057,-0.0057,-0.0057,-0.027
-0.0098,-0.0164,-0.0033,-0.0057,-0.0057,-0.0057,-0.027
-0.0098,-0.0164,-0.0033,-0.0057,-0.0057,-0.0057,-0.027
-0.0098,-0.0155,-0.0033,-0.0057,-0.0057,-0.0057,-0.027
-0.0098,-0.0155,-0.0033,-0.0057,-0.0049,-0.0033,-0.027
-0.0098,-0.0155,-0.0033,-0.0057,-0.0049,-0.0033,-0.027
-0.0098,-0.0155,-0.0033,-0.0057,-0.0049,-0.0033,-0.027
-0.0098,-0.0155,-0.0033,-0.0057,-0.0049,-0.0033,-0.027
-0.0098,-0.0155,-0.0033,-0.0057,-0.0049,-0.0033,-0.027
-0.0098,-0.0155,-0.0033,-0.0057,-0.0049,-0.0033,-0.027
-0.0098,-0.0155,-0.0033,-0.0057,-0.0049,-0.0033,-0.027
-0.0098,-0.0155,-0.0033,-0.0057,-0.0049,-0.0033,-0.027
-0.0098,-0.0155,-0.0033,-0.0057,-0.0049,-0.0033,-0.027
-0.0098,-0.0155,-0.0033,-0.0057,-0.0049,-0.0033,-0.027
-0.0098,-0.0147,-0.0033,-0.0057,-0.0049,-0.0033,-0.027
-0.0098,-0.0147,-0.0033,-0.0057,-0.0049,-0.0033,-0.027
-0.0098,-0.0147,-0.0033,-0.0057,-0.0049,-0.0033,-0.027
-0.009,-0.0147,-0.0033,-0.0057,-0.0049,-0.0033,-0.027
-0.009,-0.0147,-0.0033,-0.0057,-0.0033,-0.0033,-0.027
-0.009,-0.0147,-0.0033,-0.0057,-0.0033,-0.0033,-0.027
-0.009,-0.0147,-0.0033,-0.0057,-0.0033,-0.0033,-0.027
-0.009,-0.0147,-0.0033,-0.0057,-0.0033,-0.0033,-0.027
-0.009,-0.0147,-0.0033,-0.0057,-0.0033,-0.0033,-0.027
-0.009,-0.0147,-0.0033,-0.0057,-0.0033,-0.0033,-0.027
-0.009,-0.0147,-0.0033,-0.0057,-0.0033,-0.0033,-0.027
-0.009,-0.0139,-0.0033,-0.0057,-0.0033,-0.0033,-0.027
-0.009,-0.0139,-0.0033,-0.0057,-0.0033,-0.0033,-0.027
-0.009,-0.0139,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.009,-0.0131,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.009,-0.0131,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.009,-0.0131,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.009,-0.0131,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.009,-0.0131,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.009,-0.0131,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.009,-0.0131,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.009,-0.0123,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.009,-0.0123,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.009,-0.0123,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.009,-0.0123,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.009,-0.0123,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.009,-0.0123,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.009,-0.0115,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.0082,-0.0115,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.0082,-0.0115,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.0082,-0.0115,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.0082,-0.0115,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.0082,-0.0115,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.0082,-0.0115,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.0082,-0.0115,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.0082,-0.0115,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.0082,-0.0115,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.0082,-0.0115,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.0082,-0.0115,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.0082,-0.0106,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.0082,-0.0106,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.0082,-0.0106,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.0082,-0.0106,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.0082,-0.0106,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.0082,-0.0106,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.0082,-0.0106,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.0082,-0.0106,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.0082,-0.0106,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.0082,-0.0106,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.0082,-0.0106,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.0082,-0.0106,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.0082,-0.0106,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.0082,-0.0106,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.0082,-0.0106,-0.0033,-0.0049,-0.0033,-0.0033,-0.027
-0.0082,-0.0106,-0.0025,-0.0041,-0.0033,-0.0033,-0.027
-0.0082,-0.0106,-0.0025,-0.0041,-0.0033,-0.0033,-0.027
-0.0082,-0.0106,-0.0025,-0.0041,-0.0033,-0.0033,-0.027
-0.0082,-0.0106,-0.0025,-0.0041,-0.0033,-0.0033,-0.027
-0.0082,-0.0106,-0.0025,-0.0041,-0.0033,-0.0033,-0.027
-0.0082,-0.0106,-0.0025,-0.0041,-0.0033,-0.0033,-0.027
-0.0082,-0.0106,-0.0025,-0.0041,-0.0033,-0.0033,-0.027
-0.0082,-0.0106,-0.0025,-0.0041,-0.0033,-0.0033,-0.027
-0.0082,-0.0106,-0.0025,-0.0033,-0.0033,-0.0033,-0.027
-0.0082,-0.009,-0.0025,-0.0033,-0.0033,-0.0033,-0.027
-0.0082,-0.009,-0.0025,-0.0033,-0.0033,-0.0033,-0.027
-0.0082,-0.009,-0.0025,-0.0033,-0.0033,-0.0033,-0.027
-0.0082,-0.009,-0.0025,-0.0033,-0.0033,-0.0033,-0.027
-0.0082,-0.009,-0.0025,-0.0033,-0.0033,-0.0033,-0.027
-0.0082,-0.009,-0.0025,-0.0033,-0.0033,-0.0033,-0.027
-0.0082,-0.009,-0.0025,-0.0033,-0.0033,-0.0033,-0.027
-0.0082,-0.009,-0.0025,-0.0033,-0.0033,-0.0033,-0.027
-0.0082,-0.009,-0.0025,-0.0033,-0.0033,-0.0033,-0.027
-0.0082,-0.009,-0.0025,-0.0033,-0.0033,-0.0033,-0.027
-0.0082,-0.009,-0.0025,-0.0033,-0.0033,-0.0033,-0.027
-0.0082,-0.009,-0.0025,-0.0033,-0.0033,-0.0033,-0.027
-0.0082,-0.009,-0.0025,-0.0033,-0.0033,-0.0033,-0.027
-0.0082,-0.009,-0.0025,-0.0033,-0.0033,-0.0033,-0.027
-0.0082,-0.009,-0.0025,-0.0033,-0.0033,-0.0033,-0.027
-0.0082,-0.009,-0.0025,-0.0033,-0.0033,-0.0033,-0.027
-0.0082,-0.009,-0.0025,-0.0033,-0.0033,-0.0033,-0.027
-0.0082,-0.009,-0.0025,-0.0033,-0.0033,-0.0033,-0.027
-0.0082,-0.009,-0.0025,-0.0033,-0.0033,-0.0033,-0.027
-0.0082,-0.009,-0.0025,-0.0033,-0.0033,-0.0033,-0.027
-0.0082,-0.009,-0.0025,-0.0033,-0.0033,-0.0033,-0.027
-0.0082,-0.009,-0.0025,-0.0033,-0.0033,-0.0033,-0.027
-0.0065,-0.009,-0.0025,-0.0033,-0.0033,-0.0033,-0.027
-0.0065,-0.009,-0.0025,-0.0033,-0.0033,-0.0033,-0.027
-0.0065,-0.009,-0.0025,-0.0033,-0.0033,-0.0033,-0.027
-0.0065,-0.0082,-0.0025,-0.0033,-0.0033,-0.0033,-0.027
-0.0065,-0.0082,-0.0025,-0.0033,-0.0025,-0.0033,-0.027
-0.0065,-0.0082,-0.0025,-0.0033,-0.0025,-0.0033,-0.027
-0.0065,-0.0082,-0.0025,-0.0033,-0.0025,-0.0033,-0.027
-0.0065,-0.0082,-0.0025,-0.0033,-0.0025,-0.0033,-0.027
-0.0065,-0.0082,-0.0016,-0.0033,-0.0025,-0.0033,-0.027
-0.0065,-0.0082,-0.0016,-0.0033,-0.0025,-0.0033,-0.027
-0.0065,-0.0082,-0.0016,-0.0033,-0.0025,-0.0033,-0.027
-0.0065,-0.0082,-0.0016,-0.0033,-0.0025,-0.0033,-0.027
-0.0065,-0.0082,-0.0016,-0.0033,-0.0025,-0.0033,-0.027
-0.0065,-0.0082,-0.0016,-0.0033,-0.0025,-0.0033,-0.027
-0.0065,-0.0082,-0.0016,-0.0033,-0.0025,-0.0033,-0.027
-0.0065,-0.0082,-0.0016,-0.0033,-0.0025,-0.0033,-0.027
-0.0065,-0.0082,-0.0016,-0.0033,-0.0025,-0.0033,-0.027
-0.0065,-0.0082,-0.0016,-0.0033,-0.0025,-0.0033,-0.027
-0.0065,-0.0082,-0.0016,-0.0033,-0.0025,-0.0033,-0.027
-0.0065,-0.0082,-0.0016,-0.0033,-0.0025,-0.0033,-0.027
-0.0065,-0.0082,-0.0016,-0.0033,-0.0025,-0.0033,-0.027
-0.0065,-0.0082,-0.0016,-0.0033,-0.0025,-0.0033,-0.027
-0.0065,-0.0082,-0.0016,-0.0033,-0.0025,-0.0033,-0.027
-0.0065,-0.0082,-0.0016,-0.0033,-0.0025,-0.0033,-0.027
-0.0065,-0.0082,-0.0016,-0.0033,-0.0025,-0.0033,-0.027
-0.0065,-0.0082,-0.0016,-0.0033,-0.0025,-0.0033,-0.027
-0.0065,-0.0082,-0.0016,-0.0033,-0.0025,-0.0033,-0.027
-0.0065,-0.0082,-0.0016,-0.0033,-0.0025,-0.0033,-0.027
-0.0065,-0.0082,-0.0016,-0.0033,-0.0025,-0.0033,-0.027
-0.0065,-0.0082,-0.0016,-0.0033,-0.0025,-0.0033,-0.027
-0.0065,-0.0082,-0.0016,-0.0033,-0.0025,-0.0033,-0.027
-0.0065,-0.0082,-0.0016,-0.0033,-0.0025,-0.0025,-0.027
-0.0065,-0.0082,-0.0016,-0.0033,-0.0025,-0.0025,-0.027
-0.0065,-0.0082,-0.0016,-0.0033,-0.0025,-0.0025,-0.027
-0.0065,-0.0082,-0.0016,-0.0033,-0.0025,-0.0025,-0.027
-0.0065,-0.0082,-0.0016,-0.0033,-0.0025,-0.0025,-0.027
-0.0065,-0.0082,-0.0016,-0.0033,-0.0008,-0.0025,-0.027
-0.0065,-0.0082,-0.0016,-0.0033,-0.0008,-0.0025,-0.027
-0.0065,-0.0082,-0.0016,-0.0033,-0.0008,-0.0025,-0.027
-0.0065,-0.0082,-0.0016,-0.0033,-0.0008,-0.0025,-0.027
-0.0049,-0.0082,-0.0016,-0.0033,-0.0008,-0.0025,-0.027
-0.0049,-0.0082,-0.0016,-0.0033,-0.0008,-0.0025,-0.027
-0.0049,-0.0082,-0.0016,-0.0033,-0.0008,-0.0025,-0.027
-0.0049,-0.0082,-0.0016,-0.0033,-0.0008,-0.0025,-0.027
-0.0049,-0.0082,-0.0016,-0.0033,-0.0008,-0.0025,-0.027
-0.0049,-0.0082,-0.0016,-0.0033,-0.0008,-0.0025,-0.027
-0.0049,-0.0082,-0.0016,-0.0033,-0.0008,-0.0025,-0.027
-0.0049,-0.0082,-0.0016,-0.0033,-0.0008,-0.0025,-0.027
-0.0049,-0.0082,-0.0016,-0.0033,-0.0008,-0.0025,-0.027
-0.0049,-0.0082,-0.0016,-0.0033,-0.0008,-0.0025,-0.027
-0.0049,-0.0082,-0.0016,-0.0033,-0.0008,-0.0016,-0.027
-0.0049,-0.0082,-0.0016,-0.0033,-0.0008,-0.0016,-0.027
-0.0049,-0.0082,-0.0016,-0.0033,-0.0008,-0.0016,-0.027
-0.0049,-0.0082,-0.0016,-0.0033,-0.0008,-0.0016,-0.027
-0.0049,-0.0082,-0.0016,-0.0033,-0.0008,-0.0016,-0.027
-0.0049,-0.0082,-0.0016,-0.0033,-0.0008,-0.0016,-0.027
-0.0049,-0.0082,-0.0016,-0.0033,-0.0008,-0.0016,-0.027
-0.0049,-0.0082,-0.0016,-0.0033,-0.0008,-0.0016,-0.027
-0.0049,-0.0082,-0.0016,-0.0033,-0.0008,-0.0016,-0.027
-0.0049,-0.0082,-0.0016,-0.0033,-0.0008,-0.0016,-0.027
-0.0049,-0.0082,-0.0016,-0.0033,-0.0008,-0.0016,-0.027
-0.0049,-0.0082,-0.0016,-0.0033,-0.0008,-0.0016,-0.027
-0.0049,-0.0082,-0.0016,-0.0033,-0.0008,-0.0016,-0.027
-0.0049,-0.0082,-0.0008,-0.0033,-0.0008,-0.0016,-0.027
-0.0049,-0.0082,-0.0008,-0.0033,-0.0008,-0.0016,-0.027
-0.0049,-0.0082,-0.0008,-0.0033,-0.0008,-0.0016,-0.027
-0.0049,-0.0082,-0.0008,-0.0033,-0.0008,-0.0016,-0.027
-0.0049,-0.0082,-0.0008,-0.0033,-0.0008,-0.0016,-0.027
-0.0049,-0.0082,-0.0008,-0.0033,-0.0008,-0.0016,-0.027
-0.0049,-0.0082,-0.0008,-0.0033,-0.0008,-0.0016,-0.027
-0.0049,-0.0082,-0.0008,-0.0033,-0.0008,-0.0016,-0.027
-0.0049,-0.0082,-0.0008,-0.0033,-0.0008,-0.0016,-0.027
-0.0049,-0.0082,-0.0008,-0.0033,-0.0008,-0.0016,-0.027
-0.0049,-0.0082,-0.0008,-0.0033,-0.0008,-0.0016,-0.027
-0.0049,-0.0082,-0.0008,-0.0033,-0.0008,-0.0016,-0.027
